@lat	@lon	addr:postcode	name	amenity
34.4146038	-118.4629250	91351	Edwards Canyon Country Stadium 10	cinema
34.0820100	-118.3616499	90036	The Cinefamily	cinema
32.6259356	-116.9661900		AMC Otay Ranch 12	cinema
34.1836616	-118.3121443	91502	AMC Burbank Town Center 8	cinema
34.0148476	-118.4948686	90401	AMC Broadway 4	cinema
33.7750708	-117.8702364		Picture Show at Main Place Mall	cinema
32.7706681	-117.1588080		Ultrastar Cinemas Mission Valley	cinema
35.4873484	-120.6652450	93422	Galaxy Colony Square 10 Theatres	cinema
37.6409508	-121.0011528	95354	Brenden Modesto 18	cinema
34.0453888	-118.4527820	90025	Laemmle's Royal	cinema
34.0668674	-118.3890126	90211	Laemmle Music Hall	cinema
34.0972967	-118.3648736	90046	Landmark Theatres Sunset	cinema
34.0154147	-118.4979493	90401	Laemmle Monica Film Center	cinema
32.5010609	-116.9203634		Cinépolis Monarca	cinema
40.7324887	-122.9405819		Trinity Theatre	cinema
34.0182922	-118.1538883	90022	Regency Commerce 14	cinema
34.0674731	-118.1335830	91754	AMC Atlantic Times Square 14	cinema
33.9050443	-118.0843215	90650	Regency Norwalk 8	cinema
33.8597102	-117.9962921	90621	CGV Buena Park	cinema
34.1277832	-117.8920642	91702	Regency Foothill Center 10	cinema
34.0599018	-118.4193321	90067	Dreamscape Immersive	cinema
33.4921441	-117.6980225		Cinépolis	cinema
34.0023949	-118.0906687		Cinepolis	cinema
32.5313995	-116.9500396		Cinemex	cinema
34.1662175	-118.3750709	91601	Laemmle NoHo 7	cinema
34.1485511	-118.2540142	91206	Laemmle Glendale	cinema
34.0976467	-118.3313287	90028	Arena Cinelounge Hollywood	cinema
33.8598963	-117.2072568			cinema
33.8596315	-117.2072456			cinema
34.1546356	-118.4671290	91403	ArcLight	cinema
32.6575961	-115.4124930		Cinépolis VIP Plaza San Pedro	cinema
32.6513340	-115.4097369		Cinemex	cinema
34.1475397	-118.2537678		Five Star Cinema	cinema
32.6849582	-117.1292731		Navy Base San Diego Theater	cinema
33.8058754	-117.9123866		AMC Anaheim GardenWalk 6	cinema
34.4185872	-118.5617010		Regal Edwards Valencia Stadium 12 & IMAX	cinema
33.5612019	-117.6713150	92691	Regal Edwards Kaleidoscope	cinema
36.1427417	-115.1738308		Regal Cinebarre Palace Station	cinema
34.0481306	-118.2588130	90017	Alamo Drafthouse Cinema	cinema
39.2756307	-120.1214419		The Village Cinemas	cinema
33.8445123	-118.2613715		Cinemark Carson and XD	cinema
36.1026913	-115.2018440	89103	Century Orleans 18 and XD	cinema
37.5542096	-121.9795010	94538	Ciné Lounge	cinema
34.4211273	-119.7008903	93101	SBIFF Film Center	cinema
34.1599841	-118.5076958		Laemmle Town Center 5	cinema
34.4194088	-119.6998576	93101	Metropolitan Paseo Nuevo 4 Cinemas	cinema
36.0210663	-115.0893080		Regal Green Valley Ranch Stadium 10	cinema
36.1233751	-115.1345024	89169	"Galaxy Theatres Luxury+ Las Vegas, Boulevard Mall"	cinema
35.1619834	-114.5763965		Laughlin Stadium 9 Cinemas	cinema
33.6428766	-117.9186963		Triangle Square Cinemas	cinema
33.2966036	-117.2210542	92003	River Village Cinema is D'Place	cinema
35.1678515	-114.5720149	89029	Riverside Cinema 6-PLEX	cinema
34.0630911	-118.3100484	90005	CGV Cinemas LA	cinema
34.0590688	-118.4413750	90024	IPIC Theaters	cinema
38.6086398	-121.3804620	95825	Country Club Cinema	cinema
39.5235032	-119.7782829		Grand Sierra Cinema	cinema
34.1848094	-118.3153197	91502	AMC Burbank Town Center 6	cinema
37.6386781	-118.9642627		Minaret Cinemas	cinema
37.7629355	-121.9598080	94583	THE LOT City Center	cinema
35.6149201	-115.3842440	89019	Carolee Theatre	cinema
34.4346378	-119.7459718	93105	The Hitchcock Cinema & Public House	cinema
33.0827412	-117.2340919	92009	Cinepolis	cinema
36.3265132	-119.6445102		Metro 4 Cinema	cinema
39.2488515	-119.9522526	89451	Incline Village Cinema	cinema
37.3738568	-122.0308230	94086	AMC DINE-IN Sunnyvale 12	cinema
34.0166022	-118.4046220		Jimmy Stewart Theater	cinema
34.0195998	-118.4004423		Backstage Theatre	cinema
34.0184432	-118.4010970		Lancaster Theatre	cinema
34.0183646	-118.4010360		Quinn Theatre	cinema
34.0184225	-118.4013620		Holden Theatre	cinema
34.0186874	-118.4015830		Novak Theatre	cinema
34.0240303	-118.3920048		Cecil B. DeMille Theater	cinema
34.0633306	-118.3605719		Ted Mann Theater	cinema
37.4261135	-121.9104841	95035	Serra Theaters	cinema
36.6049668	-121.8925961		The New Warf Theatre	cinema
34.3815449	-118.5292120	91321	Laemmle (Newhall location)	cinema
32.5317590	-117.0396101	22000	Gran Cinema Latino	cinema
37.7849617	-122.4209490	94109	Apple Cinemas Van Ness	cinema
37.8789017	-122.2463958		Lawrence Hall of Science 3D Theater	cinema
34.1931099	-118.6254357		AMC Fallbrook 7	cinema
34.3995712	-119.5189193	93013	Alcazar Theater	cinema
37.7899308	-122.3929075		The Cut Outdoor Cinema	cinema
37.8188952	-122.1808200		Tien MegaDome Theater	cinema
33.6163240	-117.8764451	92660	The LOT	cinema
34.0193653	-118.3986283		Thalberg Theaters	cinema
37.7292826	-122.4765953	94132	Regal Stonestown Galleria	cinema
35.3354507	-119.0367760	93304	Valley Plaza Stadium	cinema
32.5344874	-116.9278418		Salas Audiovisual	cinema
32.5141938	-116.9658302		Cinemex	cinema
33.2002680	-117.2443384		Cinepolis	cinema
32.5162266	-117.0151270		Cinemex	cinema
33.9463476	-118.3430746	90303	Cinépolis Luxury Cinemas Inglewood IMAX	cinema
34.0594595	-118.4440120		Billy Wilder Theater	cinema
34.1022383	-118.3404881		TCL Chinese 6 Theatre	cinema
38.5796950	-122.5794357		The Moonshine	cinema
